t=807844646.508836 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@120,0,1512x33"]
t=807844646.516789 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@99,0,1512x33"]
t=807844646.523691 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@80,0,1512x33"]
t=807844646.533814 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@63,0,1512x33"]
t=807844646.541869 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@48,0,1512x33"]
t=807844646.548536 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@35,0,1512x33"]
t=807844646.558467 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@24,0,1512x33"]
t=807844646.566903 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@15,0,1512x33"]
t=807844646.573551 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@8,0,1512x33"]
t=807844646.581859 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@3,0,1512x33"]
t=807844646.592824 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50950@0,0,1512x982", "50954@0,0,1512x33"]
t=807844646.654324 dock=[] tungsten=[50948, 50949] layers=[3, 3] fullscreenApp=["50473@0,33,1512x949", "50951@0,33,1512x68", "50954@0,0,1512x33"]
t=807844646.887447 dock=[] tungsten=[] layers=[] fullscreenApp=["50473@0,33,1512x949", "50951@0,33,1512x68", "50954@0,0,1512x33"]
