t=807844568.136149 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@119,0,1512x33"]
t=807844568.144329 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@98,0,1512x33"]
t=807844568.152430 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@79,0,1512x33"]
t=807844568.159959 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@63,0,1512x33"]
t=807844568.168263 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@48,0,1512x33"]
t=807844568.177534 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@35,0,1512x33"]
t=807844568.186461 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@23,0,1512x33"]
t=807844568.193931 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@14,0,1512x33"]
t=807844568.202289 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@8,0,1512x33"]
t=807844568.209873 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@3,0,1512x33"]
t=807844568.218971 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50857@0,0,1512x982", "50861@0,0,1512x33"]
t=807844568.280895 dock=[] tungsten=[50435, 50436] layers=[3, 3] fullscreenApp=["50473@0,33,1512x949", "50858@0,33,1512x68", "50861@0,0,1512x33"]
t=807844568.522108 dock=[] tungsten=[] layers=[] fullscreenApp=["50473@0,33,1512x949", "50858@0,33,1512x68", "50861@0,0,1512x33"]
