Filtering the log data using "process == "macos-dock-cc-v2" AND category == "fullscreen-green-probe""
Timestamp               Ty Process[PID:TID]
2026-08-09 00:07:01.856 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470204.860851 key-down keyCode=3 flags=0x140109 repeat=0 age=0.080 active=1 fullscreen=1 screenMatch=1 verdict=already-fullscreen
2026-08-09 00:07:01.941 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470204.945806 cache-ready pid=81876 wid=54444 button=(362.0,110.0,16.0,16.0) window=(308.0,102.0,603.0,505.0)
2026-08-09 00:07:02.438 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470205.442963 space-notification
2026-08-09 00:07:03.981 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470206.985951 mouse-down point=(370.9,121.2) flipped=(370.9,1318.8) flags=0x0 under=0 cachedWid=54444 button=(362.0,110.0,16.0,16.0) age=0.012 active=1 fullscreen=0 exact=1 flippedHit=0 expanded=1 windowMatch=0 screenMatch=1 verdict=accepted
2026-08-09 00:07:03.981 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470206.986005 pending generation=10 pid=81876
2026-08-09 00:07:03.982 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470206.987067 order-out-complete generation=10
2026-08-09 00:07:04.225 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470207.230233 cache-ready pid=81876 wid=54444 button=(54.0,-24.0,16.0,16.0) window=(0.0,0.0,2560.0,1440.0)
2026-08-09 00:07:04.749 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470207.753581 space-notification
2026-08-09 00:07:04.762 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470207.766933 confirmed source=space-cg generation=10
2026-08-09 00:07:05.234 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470208.239296 key-down keyCode=3 flags=0x140109 repeat=0 age=0.065 active=1 fullscreen=1 screenMatch=1 verdict=already-fullscreen
2026-08-09 00:07:05.354 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470208.359036 cache-ready pid=81876 wid=54444 button=(362.0,110.0,16.0,16.0) window=(308.0,102.0,603.0,505.0)
2026-08-09 00:07:05.822 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470208.826816 space-notification
2026-08-09 00:07:08.064 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470211.069097 space-notification
2026-08-09 00:07:09.467 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470212.471881 space-notification
2026-08-09 00:07:09.496 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470212.501225 cache-ready pid=81876 wid=54444 button=(362.0,110.0,16.0,16.0) window=(308.0,102.0,603.0,505.0)
2026-08-09 00:07:11.967 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470214.971728 mouse-down point=(1187.3,1130.5) flipped=(1187.3,309.5) flags=0x0 under=0 cachedWid=54444 button=(362.0,110.0,16.0,16.0) age=0.098 active=1 fullscreen=0 exact=0 flippedHit=0 expanded=0 windowMatch=0 screenMatch=1 verdict=outside-button
2026-08-09 00:07:15.229 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470218.233684 mouse-down point=(860.2,1094.4) flipped=(860.2,345.6) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:16.450 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470219.455212 key-down keyCode=8 flags=0x100108 repeat=0 verdict=no-cache
2026-08-09 00:07:17.349 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470220.353849 mouse-down point=(1143.3,1266.2) flipped=(1143.3,173.8) flags=0x0 under=0 verdict=no-cache
2026-08-09 00:07:18.151 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470221.156024 key-down keyCode=9 flags=0x100108 repeat=0 verdict=no-cache
2026-08-09 00:07:19.141 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470222.145350 key-down keyCode=49 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:07:20.761 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470223.765800 key-down keyCode=1 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:07:21.010 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470224.015300 key-down keyCode=4 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:07:21.083 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470224.087466 key-down keyCode=0 flags=0x100 repeat=0 verdict=no-cache
2026-08-09 00:07:21.251 Df macos-dock-cc-v2[68904:10e732f] [com.caye.macosdockcc.v2:fullscreen-green-probe] [fullscreen-green-probe] t=470224.255822 key-down keyCode=16 flags=0x100 repeat=0 verdict=no-cache
